index,Age,Prof,Det,Amb,Mins,Av Rat,Imp M,Pres,Cons,Ada,Inj Pr,WR,CA,Margin,Training facilities,Div Rep,Growth
18277,20.15879534565366,12,16,13,1858,6.87,5,11,18,13,10,1000,70,39,1,73,18
18278,20.922655715263517,12,8,13,1854,7.12,13,12,11,16,13,850,72,23,12,86,5
18279,20.213552361396303,13,3,11,740,6.75,7,13,18,10,12,1250,75,5,1,73,0
18281,23.627652292950035,13,15,11,827,6.83,15,12,13,10,5,2850,107,18,13,87,0
18282,18.45037645448323,12,12,11,2053,7.09,2,8,12,13,9,2750,95,36,18,96,13
18283,18.38466803559206,11,13,11,45,8.0,14,9,11,15,12,2250,88,36,18,96,7
18284,18.258726899383984,12,9,12,8,0.0,2,13,9,13,8,1250,54,2,12,96,0
18285,18.184804928131417,14,7,8,244,7.0,8,9,12,14,10,2000,81,30,18,96,2
18286,19.247091033538673,12,14,11,238,6.64,11,12,12,7,5,1500,89,26,8,107,0
18287,18.086242299794662,14,13,8,0,0.0,11,12,9,6,7,2000,81,36,16,185,4
18289,18.050650239561943,11,16,12,6,0.0,5,9,7,14,12,1500,68,12,13,96,3
18290,20.145106091718002,14,14,15,2179,6.84,7,10,10,14,4,1000,55,51,10,46,10
18291,19.523613963039015,10,15,11,0,0.0,10,12,10,20,14,450,64,16,11,104,3
18292,24.76933607118412,15,14,14,323,6.68,3,10,19,8,7,1000,78,11,1,66,0
18293,20.73100616016427,10,2,11,236,6.62,12,12,10,10,5,1000,65,20,9,91,0
18294,23.378507871321013,14,11,12,635,6.54,9,11,12,14,9,1300,76,14,7,73,2
18295,18.20123203285421,11,16,12,68,7.2,13,11,20,15,7,2250,95,47,20,185,11
18296,18.622861054072555,10,17,11,0,0.0,15,13,8,11,14,1500,70,52,13,185,14
18297,18.10814510609172,11,2,13,0,0.0,12,11,18,20,5,1500,65,48,13,185,13
18299,18.316221765913756,9,13,11,2538,6.85,5,11,12,9,7,1750,75,57,10,72,17
18300,18.954140999315538,11,13,13,0,0.0,11,12,19,8,12,850,55,47,13,185,13
18301,18.480492813141684,12,15,9,889,6.71,9,9,14,13,7,1250,60,33,12,46,1
18302,18.48596851471595,14,4,10,0,0.0,8,12,17,20,10,700,45,45,13,185,11
18303,18.80082135523614,12,4,12,0,0.0,4,13,8,10,8,1750,80,60,13,185,12
18304,18.28062970568104,11,7,10,3366,6.86,6,11,12,15,5,900,75,20,16,85,11
18305,19.967145790554415,13,14,14,8,0.0,12,12,11,13,4,500,75,25,8,107,3
18306,18.694045174537987,14,14,13,4098,6.95,9,10,10,17,9,1750,75,33,9,46,7
18307,18.72416153319644,12,13,12,0,0.0,11,12,5,17,14,750,63,19,9,134,5
18309,19.5564681724846,13,11,12,2126,7.06,11,11,13,13,4,1150,91,49,17,173,11
18310,19.241615331964407,13,14,12,0,0.0,12,12,13,15,4,1000,68,37,18,134,6
18312,19.76454483230664,12,4,10,0,0.0,7,10,7,13,5,500,55,21,14,134,1
